Time,Treatments,Species_1,Species_2,Species_3,Species_4,Species_5,Species_6
0.0,sp_2_3_4_6,0.0,0.005,0.005,0.005,0.0,0.005
2.6666667,sp_2_3_4_6,0.0,0.022993987,0.029752193,0.014977376,0.0,0.02137508
5.3333335,sp_2_3_4_6,0.0,0.09580811,0.11322226,0.039431393,0.0,0.07250336
8.0,sp_2_3_4_6,0.0,0.35520878,0.19937389,0.084681965,0.0,0.13760126
10.666667,sp_2_3_4_6,0.0,1.1680954,0.18504362,0.18733604,0.0,0.0998963
13.333333,sp_2_3_4_6,0.0,2.3815782,0.13252963,0.50579995,0.0,0.029178156
16.0,sp_2_3_4_6,0.0,2.672291,0.092356004,1.1295016,0.0,0.0052810446
18.666666,sp_2_3_4_6,0.0,2.6055138,0.0648201,1.6125867,0.0,0.00080770056
21.333334,sp_2_3_4_6,0.0,2.6645925,0.04571856,1.7930576,0.0,0.00011732829
24.0,sp_2_3_4_6,0.0,2.7933168,0.03211972,1.8519752,0.0,1.652253e-05
0.0,sp_3_5_6,0.0,0.0,0.006666667,0.0,0.006666667,0.006666667
2.6666667,sp_3_5_6,0.0,0.0,0.037342727,0.0,0.09585365,0.029585866
5.3333335,sp_3_5_6,0.0,0.0,0.07146358,0.0,0.8269163,0.115821995
8.0,sp_3_5_6,0.0,0.0,0.04198766,0.0,0.993559,0.39328685
10.666667,sp_3_5_6,0.0,0.0,0.026503528,0.0,0.879958,0.98158354
13.333333,sp_3_5_6,0.0,0.0,0.02434321,0.0,0.8374994,1.5404576
16.0,sp_3_5_6,0.0,0.0,0.025969703,0.0,0.8366516,1.782307
18.666666,sp_3_5_6,0.0,0.0,0.028510533,0.0,0.849193,1.8492252
21.333334,sp_3_5_6,0.0,0.0,0.031122997,0.0,0.86432564,1.863161
24.0,sp_3_5_6,0.0,0.0,0.033539522,0.0,0.8786407,1.86387
