Time,Treatments,Species_1,Species_2,Species_3,Species_4,Species_5,Species_6
0.0,sp_3_5,0.0,0.0,0.01,0.0,0.01,0.0
2.6666667,sp_3_5,0.0,0.0,0.0435917,0.0,0.03845605,0.0
5.3333335,sp_3_5,0.0,0.0,0.1253469,0.0,0.16164643,0.0
8.0,sp_3_5,0.0,0.0,0.12170332,0.0,0.5934082,0.0
10.666667,sp_3_5,0.0,0.0,0.03565432,0.0,1.1002402,0.0
13.333333,sp_3_5,0.0,0.0,0.0067130793,0.0,1.2570561,0.0
16.0,sp_3_5,0.0,0.0,0.0011745964,0.0,1.2798945,0.0
18.666666,sp_3_5,0.0,0.0,0.00020401194,0.0,1.2815648,0.0
21.333334,sp_3_5,0.0,0.0,3.548922e-05,0.0,1.2812104,0.0
24.0,sp_3_5,0.0,0.0,6.182766e-06,0.0,1.2809737,0.0
0.0,sp_4,0.0,0.0,0.0,0.02,0.0,0.0
2.6666667,sp_4,0.0,0.0,0.0,0.026443435,0.0,0.0
5.3333335,sp_4,0.0,0.0,0.0,0.034210578,0.0,0.0
8.0,sp_4,0.0,0.0,0.0,0.04314041,0.0,0.0
10.666667,sp_4,0.0,0.0,0.0,0.05286487,0.0,0.0
13.333333,sp_4,0.0,0.0,0.0,0.06284855,0.0,0.0
16.0,sp_4,0.0,0.0,0.0,0.07249705,0.0,0.0
18.666666,sp_4,0.0,0.0,0.0,0.08129182,0.0,0.0
21.333334,sp_4,0.0,0.0,0.0,0.088891216,0.0,0.0
24.0,sp_4,0.0,0.0,0.0,0.09516028,0.0,0.0
